Appetizer,Entrée ,Dessert
seafood,meat,fruit
meat alternative,vegetable,prepared food
seafood,meat,cheese
meat alternative,seafood,condiment
fruit,meat,prepared food
vegetable,snack food,vegetable
vegetable,vegetable,fruit
seafood,vegetable,snack food
pasta,vegetable,fruit
seafood,seafood,snack food
condiment,meat,condiment
meat,seafood,fruit
seafood,meat,fruit
bread,condiment,grain
vegetable,vegetable,vegetable
seafood,meat,fruit
meat,seafood,fruit
meat,seafood,nuts
meat,meat,vegetable
seafood,meat,alcohol
condiment,meat,vegetable
seafood,meat,bread
seafood,meat,fruit
seafood,meat,snack food
bread,seafood,snack food
seafood,meat,bread
seafood,meat,vegetable
vegetable,seafood,vegetable
seafood,meat,fruit
meat,vegetable,fruit
meat,seafood,fruit
meat,vegetable,vegetable
meat,seafood,fruit
seafood,seafood,beverage
alcohol,vegetable,fruit
fruit,fruit,fruit
fruit,vegetable,prepared food
fruit,fruit,prepared food
fruit,vegetable,dairy
fruit,snack food,vegetable
alcohol,seafood,fruit
meat,vegetable,fruit
vegetable,vegetable,fruit
seafood,cheese,snack food
fruit,seafood,fruit
seafood,meat,grain
seafood,meat,bread
meat,seafood,cheese
meat,meat,bread
fruit,meat,condiment
fruit,seafood,fruit
vegetable,meat,breakfast
meat,seafood,alcohol
seafood,meat,fruit
snack food,meat,vegetable
fruit,seafood,vegetable
vegetable,beverage,beverage
fruit,meat,fruit
seafood,fruit,prepared food
seafood,seafood,alcohol
seafood,meat,grain
vegetable,meat,vegetable
fruit,snack food,fruit
meat,meat,prepared food
seafood,meat,fruit
beverage,condiment,snack food
seafood,alcohol,breakfast
meat,condiment,fruit
condiment,vegetable,alcohol
seafood,meat,fruit
meat,fruit,vegetable
snack food,meat,snack food
pasta,seafood,snack food
bread,snack food,fruit
meat,meat,snack food
fruit,meat,alcohol
meat alternative,meat,fruit
meat,vegetable,fruit
meat,grain,snack food
seafood,meat,fruit
seafood,pasta,snack food
seafood,meat,condiment
snack food,fruit,bread
bread,snack food,dairy
cheese,alcohol,snack food
meat,vegetable,fruit
seafood,seafood,snack food
meat,meat,snack food
bread,meat,bread
breakfast,vegetable,eggs
fruit,snack food,fruit
seafood,seafood,bread
pasta,alcohol,spice
meat,meat,snack food
fruit,meat,alcohol
seafood,meat,fruit
vegetable,meat,fruit
breakfast,seafood,prepared food
seafood,seafood,alcohol
meat,seafood,prepared food
seafood,snack food,eggs
vegetable,condiment,beverage
condiment,meat,pasta
vegetable,fruit,prepared food
meat,seafood,vegetable
meat,vegetable,alcohol
seafood,vegetable,nuts
vegetable,fruit,snack food
meat,meat,snack food
meat,vegetable,alcohol
vegetable,beverage,breakfast
meat,fruit,breakfast
meat,meat,condiment
meat,meat,pasta
seafood,seafood,snack food
vegetable,spice,spice
seafood,seafood,fruit
breakfast,fruit,eggs
seafood,meat,condiment
prepared food,meat,grain
fruit,vegetable,prepared food
alcohol,meat,alcohol
fruit,alcohol,beverage
seafood,seafood,beverage
eggs,seafood,fruit
prepared food,meat,beverage
alcohol,seafood,vegetable
cheese,fruit,snack food
vegetable,meat,beverage
bread,meat,condiment
seafood,meat,fruit
meat,seafood,bread
vegetable,meat,breakfast
condiment,snack food,bread
vegetable,nuts,beverage
meat,seafood,snack food
meat,meat,beverage
vegetable,prepared food,snack food
seafood,seafood,alcohol
meat,seafood,fruit
fruit,alcohol,fruit
seafood,meat,alcohol
prepared food,vegetable,snack food
meat,condiment,snack food
snack food,meat,grain
seafood,snack food,bread
meat,seafood,breakfast
meat,seafood,condiment
seafood,seafood,breakfast
meat,meat,breakfast
snack food,snack food,vegetable
meat,meat,meat
meat,meat,condiment
vegetable,meat,grain
snack food,meat,condiment
seafood,meat,condiment
seafood,meat,vegetable
meat,meat,fruit
seafood,meat,fruit
prepared food,meat,snack food
prepared food,meat,snack food
prepared food,seafood,meat
snack food,meat,spice
seafood,meat,fruit
beverage,meat,fruit
meat,seafood,beverage
vegetable,seafood,fruit
seafood,meat,vegetable
snack food,meat,vegetable
seafood,meat,snack food
seafood,meat,alcohol
snack food,meat,snack food
seafood,meat,fruit
snack food,seafood,grain
fruit,meat,vegetable
condiment,alcohol,snack food
snack food,vegetable,snack food
beverage,prepared food,alcohol
fruit,meat,nuts
meat,prepared food,meat
meat,bread,fruit
fruit,condiment,dairy
seafood,vegetable,condiment
fruit,prepared food,condiment
prepared food,fruit,fruit
seafood,seafood,grain
vegetable,meat,fruit
seafood,meat,condiment
meat,prepared food,fruit
meat,meat,condiment
meat alternative,condiment,meat
fruit,meat,snack food
meat,seafood,snack food
meat,meat,fruit
fruit,seafood,condiment
snack food,prepared food,prepared food
fruit,meat,pasta
snack food,snack food,snack food
meat,meat,prepared food
beverage,vegetable,bread
meat,seafood,condiment
seafood,vegetable,prepared food
prepared food,seafood,cheese
meat,meat,vegetable
meat,meat,snack food
meat,meat,condiment
eggs,eggs,eggs
snack food,prepared food,snack food
meat,meat,fruit
meat alternative,condiment,beverage
condiment,seafood,spice
condiment,prepared food,alcohol
seafood,prepared food,prepared food
seafood,snack food,snack food
seafood,prepared food,prepared food
seafood,snack food,fruit
vegetable,fruit,prepared food
meat,meat,beverage
prepared food,prepared food,bread
meat,meat,bread
snack food,snack food,condiment
meat,meat,meat
alcohol,alcohol,alcohol
prepared food,alcohol,prepared food
