Interest Measure,Ingredient Type
Winter,seafood
Winter,meat alternative
Winter,seafood
Winter,meat alternative
Winter,fruit
Winter,vegetable
Winter,vegetable
Spring,seafood
Spring,pasta
Spring,seafood
Spring,condiment
Spring,meat
Spring,seafood
Summer,bread
Summer,vegetable
Summer,seafood
Summer,meat
Summer,meat
Summer,meat
Summer,seafood
Summer,condiment
Summer,seafood
Fall,seafood
Fall,seafood
Fall,bread
Fall,seafood
Fall,seafood
Fall,vegetable
Fall,seafood
Fall,meat
Fall,meat
Winter,meat
Spring,meat
Spring,seafood
Spring,alcohol
Spring,fruit
Spring,fruit
Spring,fruit
Spring,fruit
Spring,fruit
Spring,alcohol
Spring,meat
Spring,vegetable
Spring,seafood
Spring,fruit
Summer,seafood
Summer,seafood
Summer,meat
Summer,meat
Summer,fruit
Summer,fruit
Summer,vegetable
Summer,meat
Summer,seafood
Summer,snack food
Summer,fruit
Fall,vegetable
Fall,fruit
Fall,seafood
Fall,seafood
Fall,seafood
Fall,vegetable
Fall,fruit
Fall,meat
Fall,seafood
Winter,beverage
Winter,seafood
Winter,meat
Winter,condiment
Winter,seafood
Spring,meat
Spring,snack food
Spring,pasta
Spring,bread
Spring,meat
Spring,fruit
Spring,meat alternative
Spring,meat
Spring,meat
Spring,seafood
Spring,seafood
Spring,seafood
Summer,snack food
Summer,bread
Summer,cheese
Summer,meat
Summer,seafood
Summer,meat
Summer,bread
Summer,breakfast
Summer,fruit
Summer,seafood
Summer,pasta
Fall,meat
Fall,fruit
Winter,seafood
Summer,vegetable
Fall,breakfast
Fall,seafood
Fall,meat
Fall,seafood
Fall,vegetable
Fall,condiment
Fall,vegetable
Fall,meat
Fall,meat
Fall,seafood
Fall,vegetable
Winter,meat
Winter,meat
Winter,vegetable
Winter,meat
Winter,meat
Winter,meat
Winter,seafood
Spring,vegetable
Spring,seafood
Spring,breakfast
Spring,seafood
Spring,prepared food
Spring,fruit
Spring,alcohol
Winter,fruit
Winter,seafood
Winter,eggs
Spring,prepared food
Spring,alcohol
Spring,cheese
Spring,vegetable
Spring,bread
Spring,seafood
Spring,meat
Fall,vegetable
Fall,condiment
Fall,vegetable
Summer,meat
Summer,meat
Summer,vegetable
Summer,seafood
Summer,meat
Summer,fruit
Summer,seafood
Summer,prepared food
Summer,meat
Summer,snack food
Fall,seafood
Fall,meat
Fall,meat
Fall,seafood
Fall,meat
Fall,snack food
Fall,meat
Fall,meat
Fall,vegetable
Winter,snack food
Winter,seafood
Winter,seafood
Winter,meat
Winter,seafood
Winter,prepared food
Winter,prepared food
Winter,prepared food
Winter,snack food
